Player,Pos,Fantasy Ranking,Z-Score Ranking,Z Total,Difference
Goran Dragic,PG,121.0,151,1.9685780240000001,-30.0
RJ Barrett,SG,122.0,208,0.293367643,-86.0
Will Barton,SF,123.0,45,6.355128013,78.0
Larry Nance Jr.,PF,124.0,81,4.078679115,43.0
Miles Bridges,SF,125.0,124,2.7384037130000003,1.0
Joe Ingles,PF,126.0,88,3.715698627,38.0
Daniel Theis,C,129.0,99,3.3902005560000004,30.0
Delon Wright,PG,130.0,152,1.959874567,-22.0
Elfrid Payton,PG,132.0,113,2.968299449,19.0
Darius Garland,SG,133.0,258,-0.7967967579999999,-125.0
Spencer Dinwiddie,PG,135.0,112,3.041665863,23.0
Joe Harris,SF,136.0,121,2.819063106,15.0
Kevin Huerter,SG,137.0,76,4.565318552,61.0
Paul Millsap,PF,138.0,100,3.372437732,38.0
Derrick Favors,C,139.0,179,1.0651262609999999,-40.0
Terrence Ross,SG,141.0,94,3.5532046160000004,47.0
Cam Reddish,SF,142.0,180,1.023016991,-38.0
Kevin Porter Jr.,SF,143.0,232,-0.234939495,-89.0
Dillon Brooks,SG,144.0,127,2.65122384,17.0
Tristan Thompson,PF,145.0,107,3.151716936,38.0
Nerlens Noel,C,147.0,97,3.4898665510000004,50.0
Jordan Clarkson,SG,148.0,168,1.407694204,-20.0
Tim Hardaway Jr.,SG,149.0,141,2.271778126,8.0
Ivica Zubac,C,150.0,196,0.583134386,-46.0
Luke Kennard,SG,151.0,101,3.311895474,50.0
Marquese Chriss,PF,153.0,87,3.750669909,66.0
Marc Gasol,C,154.0,119,2.8964540889999997,35.0
Jeremy Lamb,SG,155.0,77,4.53616034,78.0
Chris Boucher,C,156.0,246,-0.525877268,-90.0
Kyle Kuzma,PF,157.0,212,0.220807539,-55.0
Harrison Barnes,PF,158.0,140,2.287046922,18.0
De'Andre Hunter,SF,159.0,185,0.888198578,-26.0
Jeff Teague,PG,162.0,186,0.88500649,-24.0
Dwight Powell,C,163.0,148,2.0893573990000003,15.0
Troy Brown Jr.,SF,164.0,126,2.674493439,38.0
Jaxson Hayes,C,166.0,248,-0.582757376,-82.0
P.J. Tucker,PF,167.0,98,3.418005685,69.0
De'Anthony Melton,PG,168.0,183,0.94874299,-15.0
Justise Winslow,SG,170.0,175,1.223775905,-5.0
Cameron Johnson,PF,171.0,161,1.6595123619999999,10.0
Dario Saric,PF,172.0,142,2.199017567,30.0
Carmelo Anthony,PF,173.0,106,3.174481732,67.0
Kendrick Nunn,PG,174.0,146,2.097750108,28.0
Gary Harris,SG,175.0,139,2.288349304,36.0
Eric Gordon,SF,176.0,172,1.289374539,4.0
Patrick Beverley,PG,177.0,96,3.504933181,81.0
Dewayne Dedmon,C,178.0,285,-1.4900493590000001,-107.0
Tomas Satoransky,SG,179.0,145,2.1085642669999998,34.0
Trevor Ariza,SF,180.0,109,3.108522583,71.0
Matisse Thybulle,SG,181.0,189,0.808877305,-8.0
Derrick Jones Jr.,SF,182.0,117,2.921694428,65.0
Zach Collins,PF,183.0,206,0.304189108,-23.0
Maxi Kleber,PF,184.0,89,3.700854027,95.0
Thaddeus Young,PF,186.0,162,1.642651156,24.0
Cody Zeller,C,187.0,219,0.02955325,-32.0
Danny Green,SG,188.0,134,2.414872009,54.0
Jarrett Culver,SG,189.0,254,-0.7287621740000001,-65.0
Cedi Osman,SF,190.0,178,1.086278493,12.0
Darius Bazley,PF,191.0,288,-1.550198395,-97.0
Eric Paschall,PF,192.0,201,0.404616314,-9.0
Royce O'Neale,SF,193.0,131,2.5690878440000002,62.0
Sekou Doumbouya,PF,194.0,367,-3.774305192,-173.0
JaVale McGee,C,195.0,209,0.29001008699999997,-14.0
Meyers Leonard,C,196.0,308,-2.142801846,-112.0
Aron Baynes,C,197.0,213,0.189213639,-16.0
Josh Okogie,SG,198.0,167,1.480463965,31.0
Bobby Portis,PF,200.0,205,0.324382236,-5.0
Kevon Looney,C,201.0,374,-4.1097082789999995,-173.0
Kris Dunn,PG,202.0,110,3.0707211739999996,92.0
Gorgui Dieng,C,203.0,173,1.232629792,30.0
Enes Kanter,C,204.0,244,-0.489175066,-40.0
Kelly Olynyk,C,205.0,163,1.6129823209999998,42.0
Nemanja Bjelica,PF,206.0,54,5.734330227999999,152.0
Rudy Gay,PF,207.0,156,1.872485538,51.0
Nicolas Claxton,C,208.0,403,-5.061487679,-195.0
Nicolas Batum,SF,209.0,202,0.39608862,7.0
Taurean Prince,PF,211.0,137,2.32120898,74.0
Dwight Howard,C,212.0,243,-0.481603833,-31.0
Josh Hart,SF,213.0,102,3.295911358,111.0
Kentavious Caldwell-Pope,SG,214.0,224,-0.061679242,-10.0
Willie Cauley-Stein,C,215.0,182,1.003848809,33.0
Goga Bitadze,C,216.0,390,-4.585364497,-174.0
Kyle Anderson,SF,217.0,192,0.7719080159999999,25.0
Ish Smith,PG,218.0,147,2.089945282,71.0
Monte Morris,PG,219.0,188,0.843190695,31.0
Tyus Jones,PG,220.0,247,-0.57281639,-27.0
D.J. Augustin,PG,221.0,260,-0.811228556,-39.0
Jabari Parker,PF,222.0,103,3.2686002480000003,119.0
Rajon Rondo,PG,223.0,315,-2.35362834,-92.0
Malik Monk,SG,224.0,226,-0.17244807899999998,-2.0
Alex Len,C,225.0,270,-1.096418807,-45.0
Markieff Morris,PF,226.0,225,-0.10100100599999999,1.0
Landry Shamet,SG,227.0,230,-0.221627102,-3.0
Kent Bazemore,SF,230.0,177,1.1913184490000002,53.0
Mason Plumlee,C,231.0,284,-1.480718905,-53.0
JaMychal Green,PF,232.0,197,0.566316162,35.0
Marvin Williams,PF,233.0,198,0.555406716,35.0
Justin Holiday,SF,234.0,93,3.5602580460000004,141.0
Rodney Hood,SF,235.0,135,2.363162331,100.0
Nickeil Alexander-Walker,SG,238.0,375,-4.1421694989999995,-137.0
Kevin Knox,SF,239.0,345,-3.134167477,-106.0
Dennis Smith Jr.,PG,240.0,408,-5.2455012000000005,-168.0
George Hill,PG,241.0,159,1.7956673730000001,82.0
Dwayne Bacon,SG,242.0,392,-4.718508109,-150.0
Wesley Matthews,SG,244.0,289,-1.5606151990000001,-45.0
Al-Farouq Aminu,PF,247.0,325,-2.606030248,-78.0
Rodions Kurucs,PF,248.0,363,-3.598150822,-115.0
Luguentz Dort,SF,250.0,292,-1.6249006469999998,-42.0
Gary Trent Jr.,SF,252.0,165,1.55155577,87.0
Shake Milton,SG,253.0,223,-0.035571049,30.0
Dorian Finney-Smith,PF,256.0,136,2.337401902,120.0
Alex Caruso,PG,257.0,267,-1.007600547,-10.0
Keldon Johnson,SF,258.0,164,1.556282538,94.0
Aaron Holiday,PG,259.0,199,0.465520396,60.0
Cory Joseph,PG,260.0,211,0.227739566,49.0
Moritz Wagner,C,262.0,222,-0.030244961,40.0
Grant Williams,PF,263.0,342,-3.101012846,-79.0
Boban Marjanovic,C,264.0,330,-2.7069781760000002,-66.0
Dion Waiters,SG,265.0,181,1.0073930359999999,84.0
Avery Bradley,SG,266.0,240,-0.451348335,26.0
Anfernee Simons,SG,270.0,320,-2.440828678,-50.0
Austin Rivers,SG,271.0,282,-1.3942158759999999,-11.0
Josh Jackson,SF,272.0,238,-0.398342488,34.0
Frank Jackson,PG,273.0,384,-4.392395994,-111.0
Michael Kidd-Gilchrist,PF,274.0,424,-5.9244061089999995,-150.0
Jordan Bell,C,275.0,425,-5.938302564,-150.0
Glenn Robinson III,SF,276.0,111,3.058186197,165.0
Frank Ntilikina,PG,277.0,227,-0.186156551,50.0
Terence Davis,SG,278.0,217,0.035329822000000004,61.0
Andre Iguodala,SF,279.0,263,-0.963560909,16.0
Tony Snell,SF,280.0,133,2.425825118,147.0
Alfonzo McKinnie,SF,281.0,354,-3.3775585639999997,-73.0
T.J. McConnell,PG,283.0,194,0.7263634659999999,89.0
Michael Carter-Williams,SG,284.0,157,1.852336009,127.0
Brad Wanamaker,PG,285.0,220,0.01598487,65.0
Jordan McLaughlin,PG,288.0,231,-0.22529627800000002,57.0
Patty Mills,PG,290.0,184,0.924345248,106.0
Doug McDermott,PF,291.0,203,0.364729301,88.0
Pat Connaughton,SG,293.0,191,0.784821007,102.0
Furkan Korkmaz,SG,294.0,236,-0.33711365299999996,58.0
Jalen Brunson,PG,296.0,278,-1.328616322,18.0
Nicolo Melli,C,297.0,272,-1.141388096,25.0
Ben McLemore,SF,298.0,187,0.873621967,111.0
Rondae Hollis-Jefferson,PF,299.0,216,0.04823275900000001,83.0
Shabazz Napier,PG,301.0,176,1.208486727,125.0
Bryn Forbes,SG,302.0,255,-0.734327362,47.0
Taj Gibson,C,303.0,293,-1.626023068,10.0
Trey Lyles,PF,304.0,214,0.145698975,90.0
Robin Lopez,C,305.0,417,-5.550826299,-112.0
Noah Vonleh,C,306.0,329,-2.6957465430000003,-23.0
Jahlil Okafor,C,307.0,321,-2.5009768009999997,-14.0
Denzel Valentine,SF,308.0,275,-1.175114302,33.0
Grayson Allen,SG,309.0,268,-1.010329168,41.0
Damion Lee,SG,310.0,129,2.601717003,181.0
Langston Galloway,SG,312.0,174,1.225805373,138.0
Torrey Craig,SF,313.0,277,-1.269870005,36.0
Cameron Payne,SG,314.0,82,3.939623073,232.0
Jevon Carter,PG,315.0,233,-0.270648438,82.0
Trey Burke,PG,316.0,294,-1.6462353109999999,22.0
E'Twaun Moore,SG,317.0,301,-1.8427967490000001,16.0
